"CountryCode","year","population","region"
"AUS",1963,10950000,"Oceania"
"AUT",1963,7175811,"Europe"
"AZE",1963,4315128,"Asia"
"BDI",1963,2949926,"Africa"
"BEL",1963,9289770,"Europe"
"BEN",1963,2542859,"Africa"
"BFA",1963,5027821,"Africa"
"BGD",1963,52532417,"Asia"
"BGR",1963,8078145,"Europe"
"BHR",1963,178140,"Asia"
"BHS",1963,127333,"Americas"
"BIH",1963,3417574,"Europe"
"BLR",1963,8437232,"Europe"
"BLZ",1963,100164,"Americas"
"BMU",1963,47700,"Americas"
"BOL",1963,3913395,"Americas"
"BRA",1963,78854019,"Americas"
"BRB",1963,233587,"Americas"
"BRN",1963,93576,"Asia"
"BTN",1963,240778,"Asia"
"BWA",1963,565353,"Africa"
"CAF",1963,1585763,"Africa"
"CAN",1963,18964000,"Americas"
"CHE",1963,5694247,"Europe"
"CHL",1963,8247415,"Americas"
"CHN",1963,682335000,"Asia"
"CIV",1963,3996941,"Africa"
"CMR",1963,5520332,"Africa"
"COD",1963,16461930,"Africa"
"COG",1963,1121735,"Africa"
"COL",1963,18033550,"Americas"
"COM",1963,200372,"Africa"
"CPV",1963,216908,"Africa"
"CRI",1963,1484510,"Americas"
"CUB",1963,7618354,"Americas"
"CUW",1963,130860,"Americas"
"CYM",1963,8227,"Americas"
"CYP",1963,577913,"Asia"
"CZE",1963,9670685,"Europe"
"DEU",1963,74714353,"Europe"
"DJI",1963,100628,"Africa"
"DMA",1963,62918,"Americas"
"DNK",1963,4684483,"Europe"
"DOM",1963,3638628,"Americas"
"DZA",1963,11985136,"Africa"
"ECU",1963,4953733,"Americas"
"EGY",1963,29281250,"Africa"
"ERI",1963,1508273,"Africa"
"ESP",1963,31296651,"Europe"
"EST",1963,1258857,"Europe"
"ETH",1963,23798429,"Africa"
"FIN",1963,4523309,"Europe"
"FJI",1963,436208,"Oceania"
"FRA",1963,48803680,"Europe"
"FRO",1963,36014,"Europe"
"FSM",1963,48876,"Oceania"
"GAB",1963,516265,"Africa"
"GBR",1963,53650000,"Europe"
"GEO",1963,3816100,"Asia"
"GHA",1963,7303432,"Africa"
"GIB",1963,24848,"Europe"
"GIN",1963,3749505,"Africa"
"GMB",1963,389072,"Africa"
"GNB",1963,636586,"Africa"
"GNQ",1963,266598,"Africa"
"GRC",1963,8479625,"Europe"
"GRD",1963,93350,"Americas"
"GRL",1963,36400,"Americas"
"GTM",1963,4595510,"Americas"
"GUM",1963,71286,"Oceania"
"GUY",1963,622575,"Americas"
"HKG",1963,3420900,"Asia"
"HND",1963,2216707,"Americas"
"HRV",1963,4231408,"Europe"
"HTI",1963,4103730,"Americas"
"HUN",1963,10087947,"Europe"
"IDN",1963,95055665,"Asia"
"IMN",1963,48800,"Europe"
"IND",1963,477527970,"Asia"
"IRL",1963,2852650,"Europe"
"IRN",1963,23680432,"Asia"
"IRQ",1963,7888914,"Asia"
"ISL",1963,185653,"Europe"
"ISR",1963,2379000,"Asia"
"ITA",1963,51252000,"Europe"
"JAM",1963,1703395,"Americas"
"JOR",1963,1049302,"Asia"
"JPN",1963,96812000,"Asia"
"KAZ",1963,10913552,"Asia"
"KEN",1963,8908422,"Africa"
"KGZ",1963,2413700,"Asia"
"KHM",1963,6183747,"Asia"
"KIR",1963,44363,"Oceania"
"KNA",1963,50525,"Americas"
"KOR",1963,27261747,"Asia"
"KWT",1963,379891,"Asia"
"LAO",1963,2273349,"Asia"
"LBN",1963,1984980,"Asia"
"LBR",1963,1196890,"Africa"
"LBY",1963,1607171,"Africa"
"LCA",1963,93399,"Americas"
"LIE",1963,17718,"Europe"
"LKA",1963,10582000,"Asia"
"LSO",1963,898647,"Africa"
"LTU",1963,2898950,"Europe"
"LUX",1963,324100,"Europe"
"LVA",1963,2210919,"Europe"
"MAC",1963,184250,"Asia"
"MAF",1963,4656,"Americas"
"MAR",1963,13478232,"Africa"
"MCO",1963,23168,"Europe"
"MDA",1963,2721000,"Europe"
"MDG",1963,5486319,"Africa"
"MDV",1963,97584,"Asia"
"MEX",1963,41939880,"Americas"
"MHL",1963,16114,"Oceania"
"MKD",1963,1547450,"Europe"
"MLI",1963,5441613,"Africa"
"MLT",1963,322550,"Europe"
"MMR",1963,22371902,"Asia"
"MNE",1963,513409,"Europe"
"MNG",1963,1042383,"Asia"
"MNP",1963,10667,"Oceania"
"MOZ",1963,7862072,"Africa"
"MRT",1963,936016,"Africa"
"MUS",1963,718861,"Africa"
"MWI",1963,3872118,"Africa"
"MYS",1963,8974084,"Asia"
"NAM",1963,648661,"Africa"
"NCL",1963,85700,"Oceania"
"NER",1963,3693866,"Africa"
"NGA",1963,48032246,"Africa"
